date,department,bed_capacity,occupied_beds,available_beds,icu_capacity,icu_occupancy,doctors_allocated,nurses_allocated,equipment_utilization_pct,mri_usage,ct_usage,ventilator_available,daily_admissions,bed_occupancy_rate,icu_utilization_rate,staff_to_patient_ratio,nurse_to_patient_ratio,resource_status,admissions,avg_wait_time,emergency_cases,avg_treatment_duration,readmission_rate,avg_cost,icu_required
2024-01-01,Emergency,58,58,0,8,4,18,54,93.9,9,26,4,4,1.0,0.5,1.24,0.93,Over-utilized,4.0,114.92500000000001,4.0,1.75,0.0,5102.275,0.0
2024-01-01,ICU,34,33,1,34,28,17,73,99.4,5,14,3,1,0.9705882352941176,0.8235294117647058,2.73,2.21,Over-utilized,1.0,71.2,0.0,18.0,0.0,22806.06,1.0
2024-01-01,Cardiology,48,38,10,10,2,16,43,81.4,4,14,8,2,0.7916666666666666,0.2,1.55,1.13,Balanced,2.0,138.2,0.0,2.5,0.0,5537.725,0.0
2024-01-01,Orthopedics,44,33,11,2,2,13,33,97.7,6,12,0,0,0.75,1.0,1.39,1.0,Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,General Medicine,76,63,13,5,2,20,49,95.7,5,16,3,1,0.8289473684210527,0.4,1.1,0.78,Balanced,1.0,94.6,0.0,2.0,0.0,3984.15,0.0
2024-01-01,Neurology,36,28,8,5,0,15,31,83.3,12,15,5,1,0.7777777777777778,0.0,1.64,1.11,Balanced,1.0,128.4,0.0,3.0,0.0,6456.02,0.0
2024-01-01,Pediatrics,42,30,12,6,0,15,34,71.3,2,10,6,1,0.7142857142857143,0.0,1.63,1.13,Balanced,1.0,72.9,1.0,3.0,0.0,5347.0,0.0
2024-01-01,Oncology,40,31,9,3,0,10,28,88.3,1,1,3,3,0.775,0.0,1.23,0.9,Balanced,3.0,85.89999999999999,0.0,2.6666666666666665,0.0,5382.973333333334,0.0
2024-01-01,Surgery,52,38,14,8,3,16,46,92.9,5,12,5,3,0.7307692307692307,0.375,1.63,1.21,Balanced,3.0,88.56666666666666,0.0,2.0,0.0,4987.0,0.0
2024-01-01,Maternity,46,28,18,4,1,13,32,92.6,1,11,3,4,0.6086956521739131,0.25,1.61,1.14,Under-utilized,4.0,68.25,0.0,4.0,0.0,7083.655000000001,1.0
2024-01-02,Emergency,58,53,5,8,2,21,53,86.6,8,17,6,3,0.9137931034482759,0.25,1.4,1.0,Over-utilized,3.0,179.76666666666665,2.0,5.666666666666667,0.0,8986.693333333335,0.0
2024-01-02,ICU,34,34,0,34,31,16,67,110.3,7,8,0,2,1.0,0.9117647058823529,2.44,1.97,Over-utilized,2.0,107.15,0.0,9.5,0.0,17224.235,2.0
2024-01-02,Cardiology,48,36,12,10,2,15,38,96.7,7,11,8,1,0.75,0.2,1.47,1.06,Balanced,1.0,105.9,0.0,3.0,0.0,5623.16,0.0
2024-01-02,Orthopedics,44,35,9,2,0,9,37,92.4,7,8,2,2,0.7954545454545454,0.0,1.31,1.06,Balanced,2.0,120.0,0.0,3.0,0.0,6226.610000000001,0.0
