date,department,bed_capacity,occupied_beds,available_beds,icu_capacity,icu_occupancy,doctors_allocated,nurses_allocated,equipment_utilization_pct,mri_usage,ct_usage,ventilator_available,daily_admissions
2024-01-01,Emergency,58,58,0,8,4,18,54,93.9,9,26,4,4
2024-01-01,ICU,34,33,1,34,28,17,73,99.4,5,14,3,1
2024-01-01,Cardiology,48,38,10,10,2,16,43,81.4,4,14,8,2
2024-01-01,Orthopedics,44,33,11,2,2,13,33,97.7,6,12,0,0
2024-01-01,General Medicine,76,63,13,5,2,20,49,95.7,5,16,3,1
2024-01-01,Neurology,36,28,8,5,0,15,31,83.3,12,15,5,1
2024-01-01,Pediatrics,42,30,12,6,0,15,34,71.3,2,10,6,1
2024-01-01,Oncology,40,31,9,3,0,10,28,88.3,1,1,3,3
2024-01-01,Surgery,52,38,14,8,3,16,46,92.9,5,12,5,3
2024-01-01,Maternity,46,28,18,4,1,13,32,92.6,1,11,3,4
2024-01-02,Emergency,58,53,5,8,2,21,53,86.6,8,17,6,3
2024-01-02,ICU,34,34,0,34,31,16,67,110.3,7,8,0,2
2024-01-02,Cardiology,48,36,12,10,2,15,38,96.7,7,11,8,1
2024-01-02,Orthopedics,44,35,9,2,0,9,37,92.4,7,8,2,2
2024-01-02,General Medicine,76,62,14,5,0,19,54,87.5,3,16,5,4
2024-01-02,Neurology,36,29,7,5,0,12,20,97.8,8,12,5,2
2024-01-02,Pediatrics,42,34,8,6,0,10,33,100.1,2,6,6,1
2024-01-02,Oncology,40,31,9,3,0,10,36,85.1,7,5,3,1
2024-01-02,Surgery,52,42,10,8,2,17,36,89.5,3,11,6,0
2024-01-02,Maternity,46,30,16,4,0,12,40,70.3,5,2,4,0
2024-01-03,Emergency,58,53,5,8,1,22,53,73.3,12,27,7,3
2024-01-03,ICU,34,34,0,34,33,16,67,100.2,4,12,0,2
2024-01-03,Cardiology,48,41,7,10,2,16,35,97.9,7,18,8,3
2024-01-03,Orthopedics,44,23,21,2,2,12,39,66.9,1,2,0,0
2024-01-03,General Medicine,76,64,12,5,2,18,60,85.9,7,23,3,4
2024-01-03,Neurology,36,27,9,5,0,11,25,83.4,5,18,5,0
2024-01-03,Pediatrics,42,31,11,6,0,13,37,72.3,5,8,6,4
2024-01-03,Oncology,40,32,8,3,0,11,42,88.0,8,6,3,0
2024-01-03,Surgery,52,49,3,8,2,17,41,82.3,5,12,6,4
2024-01-03,Maternity,46,30,16,4,1,12,35,82.3,1,9,3,4
2024-01-04,Emergency,58,58,0,8,2,20,56,84.0,9,31,6,2
2024-01-04,ICU,34,30,4,34,31,16,66,89.9,4,11,0,0
2024-01-04,Cardiology,48,33,15,10,4,17,40,80.1,2,9,6,1
2024-01-04,Orthopedics,44,30,14,2,2,12,24,91.6,11,12,0,0
2024-01-04,General Medicine,76,67,9,5,0,19,52,88.0,3,9,5,2
2024-01-04,Neurology,36,30,6,5,0,11,34,92.8,11,15,5,2
2024-01-04,Pediatrics,42,31,11,6,1,13,29,94.4,3,8,5,2
2024-01-04,Oncology,40,27,13,3,2,10,24,79.0,2,2,1,1
2024-01-04,Surgery,52,45,7,8,4,21,39,72.7,2,16,4,0
2024-01-04,Maternity,46,33,13,4,0,15,29,84.9,1,5,4,3
2024-01-05,Emergency,58,58,0,8,2,24,44,93.4,12,36,6,5
2024-01-05,ICU,34,34,0,34,33,21,62,106.1,2,8,0,5
2024-01-05,Cardiology,48,38,10,10,4,14,36,97.0,1,8,6,2
2024-01-05,Orthopedics,44,30,14,2,1,12,30,83.4,8,4,1,2
2024-01-05,General Medicine,76,64,12,5,2,17,56,73.5,5,13,3,2
2024-01-05,Neurology,36,25,11,5,2,13,24,71.6,6,9,3,1
2024-01-05,Pediatrics,42,34,8,6,1,15,29,98.9,0,12,5,4
2024-01-05,Oncology,40,30,10,3,0,12,25,80.0,5,2,3,3
2024-01-05,Surgery,52,41,11,8,4,19,44,86.6,3,13,4,2
2024-01-05,Maternity,46,30,16,4,0,14,36,65.6,1,4,4,0
2024-01-06,Emergency,58,58,0,8,1,23,59,104.0,11,31,7,4
2024-01-06,ICU,34,34,0,34,30,19,63,93.0,5,17,1,1
2024-01-06,Cardiology,48,35,13,10,3,14,45,82.5,4,3,7,1
2024-01-06,Orthopedics,44,34,10,2,0,12,31,95.9,8,7,2,1
2024-01-06,General Medicine,76,70,6,5,0,19,55,90.2,6,16,5,1
2024-01-06,Neurology,36,29,7,5,0,14,31,80.0,10,9,5,0
2024-01-06,Pediatrics,42,32,10,6,1,15,32,84.0,3,11,5,1
2024-01-06,Oncology,40,32,8,3,1,7,35,72.6,4,7,2,0
2024-01-06,Surgery,52,43,9,8,1,17,46,81.6,6,17,7,1
2024-01-06,Maternity,46,26,20,4,0,14,37,80.9,0,3,4,0
2024-01-07,Emergency,58,56,2,8,4,21,52,84.3,13,33,4,3
2024-01-07,ICU,34,34,0,34,31,15,61,94.3,3,11,0,2
2024-01-07,Cardiology,48,37,11,10,3,13,40,68.7,4,17,7,1
2024-01-07,Orthopedics,44,27,17,2,3,15,29,68.5,7,10,0,0
2024-01-07,General Medicine,76,69,7,5,2,19,56,98.3,6,18,3,2
2024-01-07,Neurology,36,29,7,5,0,13,34,85.5,12,9,5,0
2024-01-07,Pediatrics,42,28,14,6,0,15,30,76.1,1,7,6,0
2024-01-07,Oncology,40,26,14,3,2,10,25,81.1,5,9,1,1
2024-01-07,Surgery,52,43,9,8,3,19,45,76.0,6,10,5,2
2024-01-07,Maternity,46,29,17,4,1,15,36,67.6,0,2,3,0
2024-01-08,Emergency,58,54,4,8,3,20,55,93.1,11,25,5,2
2024-01-08,ICU,34,31,3,34,32,20,67,82.3,2,10,0,2
2024-01-08,Cardiology,48,37,11,10,5,18,35,69.7,1,8,5,2
2024-01-08,Orthopedics,44,28,16,2,0,14,27,83.6,2,10,2,2
2024-01-08,General Medicine,76,62,14,5,0,20,52,93.1,2,11,5,4
2024-01-08,Neurology,36,29,7,5,0,15,20,87.4,9,7,5,1
2024-01-08,Pediatrics,42,29,13,6,2,13,38,70.9,3,10,4,1
2024-01-08,Oncology,40,31,9,3,2,12,28,82.8,1,8,1,2
2024-01-08,Surgery,52,44,8,8,3,18,36,101.0,3,6,5,3
2024-01-08,Maternity,46,32,14,4,0,15,43,69.9,0,5,4,2
2024-01-09,Emergency,58,51,7,8,4,25,51,79.5,8,28,4,2
2024-01-09,ICU,34,34,0,34,32,21,63,84.0,3,14,0,1
2024-01-09,Cardiology,48,37,11,10,1,14,35,89.5,6,9,9,2
2024-01-09,Orthopedics,44,29,15,2,0,12,34,86.4,10,10,2,3
2024-01-09,General Medicine,76,63,13,5,0,18,47,95.3,3,13,5,2
2024-01-09,Neurology,36,30,6,5,0,9,28,91.8,9,5,5,2
2024-01-09,Pediatrics,42,29,13,6,0,10,29,99.8,5,11,6,2
2024-01-09,Oncology,40,28,12,3,1,13,25,86.2,4,7,2,0
2024-01-09,Surgery,52,43,9,8,3,25,36,96.5,7,17,5,4
2024-01-09,Maternity,46,30,16,4,2,13,33,81.1,0,8,2,0
2024-01-10,Emergency,58,56,2,8,2,21,55,108.1,13,36,6,2
2024-01-10,ICU,34,31,3,34,32,18,68,90.1,2,9,0,0
2024-01-10,Cardiology,48,40,8,10,3,13,30,87.5,4,16,7,4
2024-01-10,Orthopedics,44,34,10,2,1,10,30,109.2,7,11,1,2
2024-01-10,General Medicine,76,60,16,5,2,17,54,77.7,3,13,3,0
2024-01-10,Neurology,36,33,3,5,0,10,36,96.7,9,9,5,2
2024-01-10,Pediatrics,42,30,12,6,1,12,37,93.8,4,0,5,2
2024-01-10,Oncology,40,31,9,3,0,14,33,89.7,6,10,3,1
2024-01-10,Surgery,52,47,5,8,3,17,44,84.2,2,15,5,2
2024-01-10,Maternity,46,28,18,4,0,13,38,62.5,0,5,4,1
2024-01-11,Emergency,58,58,0,8,3,22,49,90.2,11,26,5,5
2024-01-11,ICU,34,34,0,34,30,14,62,95.9,2,10,1,0
2024-01-11,Cardiology,48,37,11,10,3,15,37,84.0,7,11,7,1
2024-01-11,Orthopedics,44,30,14,2,0,10,37,87.1,6,13,2,1
2024-01-11,General Medicine,76,65,11,5,2,19,51,82.8,5,11,3,0
2024-01-11,Neurology,36,36,0,5,0,10,30,90.5,13,13,5,2
2024-01-11,Pediatrics,42,32,10,6,0,12,35,79.4,6,6,6,1
2024-01-11,Oncology,40,33,7,3,0,9,26,77.4,4,2,3,3
2024-01-11,Surgery,52,41,11,8,1,18,44,78.5,5,15,7,3
2024-01-11,Maternity,46,28,18,4,1,15,36,71.2,0,0,3,1
2024-01-12,Emergency,58,58,0,8,1,22,48,103.7,8,27,7,2
2024-01-12,ICU,34,34,0,34,31,19,64,88.2,4,14,0,2
2024-01-12,Cardiology,48,37,11,10,2,17,35,100.8,4,13,8,3
2024-01-12,Orthopedics,44,36,8,2,3,11,33,101.0,7,12,0,4
2024-01-12,General Medicine,76,58,18,5,0,19,45,97.7,1,11,5,1
2024-01-12,Neurology,36,28,8,5,1,12,30,76.6,10,9,4,0
2024-01-12,Pediatrics,42,33,9,6,0,14,30,93.1,6,7,6,1
2024-01-12,Oncology,40,28,12,3,0,9,28,82.7,5,13,3,1
2024-01-12,Surgery,52,41,11,8,1,17,39,71.9,6,8,7,2
2024-01-12,Maternity,46,28,18,4,0,14,34,71.2,0,4,4,1
2024-01-13,Emergency,58,58,0,8,2,20,53,93.2,12,35,6,4
2024-01-13,ICU,34,34,0,34,32,14,63,96.2,2,11,0,1
2024-01-13,Cardiology,48,41,7,10,3,13,37,83.7,7,11,7,2
2024-01-13,Orthopedics,44,29,15,2,0,13,28,76.3,5,2,2,2
2024-01-13,General Medicine,76,65,11,5,2,21,51,100.6,6,16,3,2
2024-01-13,Neurology,36,28,8,5,2,12,23,72.0,9,13,3,2
2024-01-13,Pediatrics,42,30,12,6,0,8,30,86.3,6,6,6,0
2024-01-13,Oncology,40,32,8,3,0,12,32,77.5,3,5,3,1
2024-01-13,Surgery,52,40,12,8,2,21,37,83.9,3,11,6,1
2024-01-13,Maternity,46,32,14,4,1,15,33,79.8,2,1,3,0
2024-01-14,Emergency,58,58,0,8,4,16,53,86.0,8,25,4,1
2024-01-14,ICU,34,34,0,34,30,15,65,89.3,4,16,1,1
